입국자국가,국가코드,입국연월,입국자 수
중  국,112,201801,305127
중  국,112,201802,345341
중  국,112,201803,403413
중  국,112,201804,366604
중  국,112,201805,370222
중  국,112,201806,379891
중  국,112,201807,410337
중  국,112,201808,478140
중  국,112,201809,434595
중  국,112,201810,475307
중  국,112,201811,404256
중  국,112,201812,416279
중  국,112,201901,392814
중  국,112,201902,453379
중  국,112,201903,487623
중  국,112,201904,493250
중  국,112,201905,500413
중  국,112,201906,475007
중  국,112,201907,519132
중  국,112,201908,578112
중  국,112,201909,541350
중  국,112,201910,567695
중  국,112,201911,505369
중  국,112,201912,508877
중  국,112,202001,481681
중  국,112,202002,104086
중  국,112,202003,16595
중  국,112,202004,3935
중  국,112,202005,5124
중  국,112,202006,5051
중  국,112,202007,9738
중  국,112,202008,16275
중  국,112,202009,15307
중  국,112,202010,11477
중  국,112,202011,9174
중  국,112,202012,7987
중  국,112,202101,7346
중  국,112,202102,11982
중  국,112,202103,18980
중  국,112,202104,16830
중  국,112,202105,14221
중  국,112,202106,12942
중  국,112,202107,13469
중  국,112,202108,17103
중  국,112,202109,19144
중  국,112,202110,14035
중  국,112,202111,12472
중  국,112,202112,11691
중  국,112,202201,9489
중  국,112,202202,16752
중  국,112,202203,14726
중  국,112,202204,10230
중  국,112,202205,11253
중  국,112,202206,12741
중  국,112,202207,17907
중  국,112,202208,30248
중  국,112,202209,29531
중  국,112,202210,22940
